Time,TIME_STAMP_s,TIME_STAMP_ms,OR_TIME_STAMP_s,OR_TIME_STAMP_ms,COUNTER_MEMS,INTERPOLATED_MEM,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY
6250.0000,6.0000,250.5000,6.0000,427.0000,3.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9493,0.2695,0.0508,-50.8333,-14.5000
6312.5000,6.0000,313.0000,6.0000,490.0000,4.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9298,0.2695,0.0547,-50.0000,-15.1667
6375.0000,6.0000,375.5000,6.0000,553.0000,5.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2813,0.0625,-50.3333,-14.6667
6437.5000,6.0000,438.0000,6.0000,616.0000,6.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2618,0.0547,-50.6667,-15.3333
6500.0000,6.0000,500.5000,6.0000,678.0000,7.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2618,0.0468,-51.0000,-15.0000
6562.5000,6.0000,563.0000,6.0000,741.0000,8.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2773,0.0703,-51.1667,-14.5000
6625.0000,6.0000,625.5000,6.0000,804.0000,9.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9298,0.2618,0.0587,-51.3333,-14.1667
6687.5000,6.0000,688.1000,6.0000,867.0000,10.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9493,0.2578,0.0663,-50.5000,-13.8333
6750.0000,6.0000,750.6000,6.0000,930.0000,11.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9337,0.2735,0.0625,-50.8333,-13.5000
6812.5000,6.0000,813.1000,6.0000,993.0000,12.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9532,0.2618,0.0547,-50.0000,-13.1667
6875.0000,6.0000,875.6000,7.0000,56.0000,13.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2813,0.0547,-50.3333,-13.0000
6937.5000,6.0000,938.1000,7.0000,119.0000,14.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2695,0.0703,-49.5000,-12.6667
7000.0000,7.0000,0.6000,7.0000,182.0000,15.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9415,0.2657,0.0663,-48.8333,-13.5000
7062.5000,7.0000,63.1000,7.0000,245.0000,0.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9298,0.2657,0.0547,-49.3333,-14.3333
7125.0000,7.0000,125.6000,7.0000,308.0000,1.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9337,0.2657,0.0468,-49.6667,-14.0000
7187.5000,7.0000,188.1000,7.0000,371.0000,2.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9298,0.2618,0.0508,-50.0000,-13.6667
7250.0000,7.0000,250.6000,7.0000,434.0000,3.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9455,0.2657,0.0663,-49.3333,-13.3333
7312.5000,7.0000,313.1000,7.0000,496.0000,4.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2618,0.0625,-49.6667,-13.0000
7375.0000,7.0000,375.6000,7.0000,559.0000,5.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2618,0.0625,-50.1667,-12.8333
7437.5000,7.0000,438.1000,7.0000,622.0000,6.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2695,0.0508,-50.5000,-13.6667
7500.0000,7.0000,500.6000,7.0000,685.0000,7.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2657,0.0547,-50.6667,-14.5000
7562.5000,7.0000,563.1000,7.0000,748.0000,8.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9298,0.2618,0.0663,-51.0000,-14.0000
7625.0000,7.0000,625.6000,7.0000,811.0000,9.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2540,0.0703,-50.1667,-13.6667
7687.5000,7.0000,688.1000,7.0000,874.0000,10.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9415,0.2578,0.0663,-50.5000,-13.5000
7750.0000,7.0000,750.7000,7.0000,937.0000,11.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9377,0.2657,0.0508,-50.6667,-13.1667
7812.5000,7.0000,813.2000,7.0000,1000.0000,12.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9377,0.2695,0.0742,-51.0000,-12.8333
7875.0000,7.0000,875.7000,8.0000,62.0000,13.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9455,0.2657,0.0508,-51.1667,-12.6667
7937.5000,7.0000,938.2000,8.0000,125.0000,14.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9455,0.2618,0.0508,-50.3333,-12.5000
8000.0000,8.0000,0.7000,8.0000,188.0000,15.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9377,0.2578,0.0742,-49.6667,-13.3333
8062.5000,8.0000,63.2000,8.0000,250.0000,0.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9455,0.2695,0.0508,-48.8333,-14.1667
8125.0000,8.0000,125.7000,8.0000,313.0000,1.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9415,0.2578,0.0663,-49.3333,-13.8333
8187.5000,8.0000,188.2000,8.0000,376.0000,2.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9337,0.2540,0.0508,-49.8333,-13.5000
8250.0000,8.0000,250.7000,8.0000,438.0000,3.0000,0.0000,0.7415,0.1797,0.2813,0.5820,0.9532,0.2773,0.0625,-49.0000,-13.1667
8312.5000,8.0000,313.2000,8.0000,501.0000,4.0000,0.0000,0.7430,0.1797,0.2773,0.5820,0.9298,0.2695,0.0625,-48.3333,-14.0000
8375.0000,8.0000,375.7000,8.0000,563.0000,5.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9298,0.2618,0.0508,-48.8333,-14.8333
8437.5000,8.0000,438.2000,8.0000,626.0000,6.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9455,0.2657,0.0625,-49.3333,-15.3333
8500.0000,8.0000,500.7000,8.0000,689.0000,7.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9377,0.2578,0.0663,-48.6667,-16.0000
8562.5000,8.0000,563.2000,8.0000,751.0000,8.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9298,0.2578,0.0625,-49.1667,-15.5000
8625.0000,8.0000,625.7000,8.0000,814.0000,9.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9377,0.2578,0.0587,-49.5000,-15.0000
8687.5000,8.0000,688.2000,8.0000,877.0000,10.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9415,0.2578,0.0508,-48.8333,-14.5000
8750.0000,8.0000,750.7000,8.0000,939.0000,11.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9415,0.2578,0.0663,-49.3333,-15.1667
8812.5000,8.0000,813.2000,9.0000,1.0000,12.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9337,0.2462,0.0508,-49.6667,-14.8333
8875.0000,8.0000,875.8000,9.0000,64.0000,13.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9455,0.2618,0.0663,-50.0000,-14.3333
8937.5000,8.0000,938.3000,9.0000,126.0000,14.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9337,0.2462,0.0508,-49.3333,-14.0000
9000.0000,9.0000,0.8000,9.0000,189.0000,15.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9377,0.2540,0.0587,-48.6667,-13.6667
9062.5000,9.0000,63.3000,9.0000,252.0000,0.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9377,0.2578,0.0587,-49.1667,-14.5000
9125.0000,9.0000,125.8000,9.0000,314.0000,1.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9415,0.2578,0.0508,-49.5000,-15.1667
9187.5000,9.0000,188.3000,9.0000,376.0000,2.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9337,0.2500,0.0625,-50.0000,-15.6667
9250.0000,9.0000,250.8000,9.0000,439.0000,3.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9415,0.2618,0.0625,-50.3333,-16.3333
9312.5000,9.0000,313.3000,9.0000,502.0000,4.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9337,0.2618,0.0742,-50.5000,-16.8333
9375.0000,9.0000,375.8000,9.0000,564.0000,5.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9377,0.2618,0.0742,-49.8333,-16.1667
9437.5000,9.0000,438.3000,9.0000,627.0000,6.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9377,0.2500,0.0663,-49.0000,-15.6667
9500.0000,9.0000,500.8000,9.0000,689.0000,7.0000,0.0000,0.7398,0.1797,0.2773,0.5860,0.9455,0.2695,0.0625,-48.5000,-16.1667
9562.5000,9.0000,563.3000,9.0000,751.0000,8.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9455,0.2578,0.0703,-49.0000,-16.6667
9625.0000,9.0000,625.8000,9.0000,814.0000,9.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9455,0.2618,0.0663,-48.3333,-17.1667
9687.5000,9.0000,688.3000,9.0000,877.0000,10.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9493,0.2500,0.0742,-47.6667,-16.5000
9750.0000,9.0000,750.8000,9.0000,939.0000,11.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9337,0.2500,0.0587,-48.3333,-17.0000
9812.5000,9.0000,813.3000,10.0000,2.0000,12.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9377,0.2618,0.0742,-47.6667,-17.5000
9875.0000,9.0000,875.8000,10.0000,64.0000,13.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9532,0.2383,0.0663,-48.3333,-17.8333
9937.5000,9.0000,938.3000,10.0000,126.0000,14.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9337,0.2618,0.0625,-48.8333,-18.1667
10000.0000,10.0000,0.9000,10.0000,189.0000,15.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9377,0.2578,0.0625,-49.3333,-18.5000
10062.5000,10.0000,63.4000,10.0000,252.0000,0.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9377,0.2540,0.0587,-48.6667,-18.8333
10125.0000,10.0000,125.9000,10.0000,314.0000,1.0000,0.0000,0.7385,0.1797,0.2813,0.5860,0.9493,0.2657,0.0547,-48.0000,-18.0000
